,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambd,params_latent_dim,params_lr,params_max_beta,params_min_beta,params_num_epochs,params_vae_epochs,params_wd,state
10,10,0.7367025,2024-12-04 19:14:47.995457,2024-12-04 19:29:23.930455,0 days 00:14:35.934998,64,0.3130654107956221,128,0.008951371474790457,0.013240627597580285,1.1150067610304347e-05,2000,3000,0.0007050270418895113,COMPLETE
11,11,0.9165789999999998,2024-12-04 19:29:23.931182,2024-12-04 19:44:51.203403,0 days 00:15:27.272221,64,0.9600882255408686,128,0.009940090272021416,0.028490063185055425,0.0008019720325767772,4000,1000,6.42215526860829e-05,COMPLETE
12,12,1.1167170000000002,2024-12-04 19:44:51.204053,2024-12-04 19:57:13.249642,0 days 00:12:22.045589,128,0.6418419316250921,128,0.0030160304244131906,0.09775983831104144,0.0004341314443846549,6000,3000,2.0352547227297335e-05,COMPLETE
13,13,0.8348255,2024-12-04 19:57:13.250770,2024-12-04 20:03:37.217487,0 days 00:06:23.966717,64,0.6451997244182789,64,0.0024180787254665425,0.08985094626560698,5.7650487644663445e-05,4000,3000,2.3559958552203306e-05,COMPLETE
14,14,0.852333,2024-12-04 20:03:37.218248,2024-12-04 20:12:02.010674,0 days 00:08:24.792426,128,0.5261642126834147,96,0.00673453309313308,0.09405386052909993,0.0003635497028756415,4000,2500,1.599755366347708e-05,COMPLETE
15,15,0.9674495000000001,2024-12-04 20:12:02.011194,2024-12-04 20:22:04.056104,0 days 00:10:02.044910,128,0.7116842465344394,128,0.002028917113542117,0.022180076642806912,7.110383900868006e-05,6000,3000,0.0003341677032722297,COMPLETE
16,16,1.1378865,2024-12-04 20:22:04.056879,2024-12-04 20:35:00.083633,0 days 00:12:56.026754,320,0.35920787492401396,128,0.00013924766878401526,0.05303051270713357,0.00035782372009032884,6000,2500,2.6667200660817674e-06,COMPLETE
17,17,1.0190055,2024-12-04 20:35:00.084142,2024-12-04 20:42:14.610458,0 days 00:07:14.526316,320,0.42608324032998607,64,0.00011882742703668027,0.007526403411219864,8.479524168741741e-05,2000,2500,1.4528778101843358e-06,COMPLETE
18,18,1.0247985000000002,2024-12-04 20:42:14.611122,2024-12-04 20:52:58.894426,0 days 00:10:44.283304,320,0.3976593267069032,96,0.0002694516976649567,0.052900811408183555,0.000276252626552778,6000,2500,0.00943839508649415,COMPLETE
19,19,-0.015905000000000002,2024-12-04 20:52:58.895523,2024-12-04 20:59:39.986324,0 days 00:06:41.090801,512,0.2634898402495223,128,0.00028996511163666307,0.01622702283361798,0.0005363292386310936,4000,2500,1.525262997018952e-06,COMPLETE
20,20,-1.7503935,2024-12-04 20:59:39.987312,2024-12-04 21:05:09.785733,0 days 00:05:29.798421,448,0.39098922961249927,96,0.00023294988796622676,0.03706351989472433,0.00012007849355122797,2000,1500,0.0005933527138739876,COMPLETE
21,21,0.9298455,2024-12-04 21:05:09.786483,2024-12-04 21:09:23.105385,0 days 00:04:13.318902,256,0.5707109962500622,128,0.006010083913405668,0.05849887898548845,0.0004232720922003091,6000,3000,7.323518595003945e-06,COMPLETE
22,22,0.8922780000000001,2024-12-04 21:09:23.106183,2024-12-04 21:19:17.272908,0 days 00:09:54.166725,128,0.71086885234472,128,0.0026079455470320464,0.07017547918088651,0.0002474706395271466,6000,3000,8.196214863486154e-05,COMPLETE
23,23,1.054407,2024-12-04 21:19:17.273923,2024-12-04 21:25:17.802729,0 days 00:06:00.528806,256,0.5946512226933407,128,0.0009754491661584028,0.038265194194357775,0.000479747727054607,4000,3000,3.284158993795641e-07,COMPLETE
24,24,1.136217,2024-12-04 21:25:17.806147,2024-12-04 21:32:51.246875,0 days 00:07:33.440728,128,0.7327564454683462,128,0.0030774563206386754,0.09757314363210963,0.0009244768376962128,10000,2500,5.620062430232021e-06,COMPLETE
